Job Title,Key Skills
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager
 Business Development / Corporate Sales, lead generation| business development| corporate sales
 Business Development Manager (BDM), contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales
 QA Executive, QA Executive
 Back End Java Developer - Restful Services/soap, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL
 Product Engineer, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it
 Opening For Articulate tool Developer - Articulate / Captivate)chennai, Articulate Storyline
 Urgent Hiring for Area Sales Manager, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager
 Software Engineer - C++ Development - Ooad/oops, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging
 Linux Administrator Lead, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos
 Hiring for Tech Pm/scrum Master for Hyderabad Location, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest
 Assistant Professor (Grade I)-Theoretical Computer Science,vide
 US Based Financial Company Looking For Java API Engineers For HYD, Java| java api| Banking| j2ee| API| finance| core java| microservices
 Strong Partner Ecosystem, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge
 Wordpress Web Developer,vide
 Senior Executive- Contract Logistics- Bom WP-A, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations
 Accounts Manager, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp
 nutanix sme , Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving
 System Architect - 3g/4g Wireless Network Architecture & Migration, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",arm processor|c|device drivers|embedded linux|linux kernel|ipc
 Java Developer, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL
 Regional Representative, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction
 Hiring For Record To Report, fixed assets| accounts payable| record to report| general accounting| general ledger
 Product & Regional Sales Manager, Team management| Regional sales| Management
 Senior Manager/associate Director - Mandarin, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce
 ODI Developer/lead ODI Developer - RACI, ODI| Matrix
 UI Developer, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html
 Assistant Manager , Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing
 Android Developer, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel
 iOS Developer, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation
 F&A Black belt - Process Excellence Lead, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC
 IT - Head (preferably from an NGO), networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software
 Digital Content Producer For largest Media House, Automobile| Digital Content| Content Development| Production| Web Content Writing
 Manager Holidays, Tourism| target achievement| negotiation skills| revenue management| Tour Packages
 Backend Developer, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing
 JUNIOR BIG DATA ANALYST IN,vide
 Chief Engineer, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure
,Marketing|Executive|Marketing|Marketing|Executive|Direct|Executives|Marketing|Executive|Executive|Executive|Executive|Marketing|Executive|Marketing|Executive|direct|marketing|executive|Marketing|Executive|Marketing|Executive|Executive|Marketing|Executive|direct|Executive|Direct|Marketing|Executive|Executive|Direct|Marketing|Marketing|Executive
 Oracle DBA Consultant - Data Guard/rac Modules, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC
 Global HR Operations Analyst, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management
,Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Transformation|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation
 Compiler- Support Engineer, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD
 Key Accounts Manager,vide
 Head Sales- Coworking Company, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing
" Clubhouse Manager, Facility Manager,", Facility Management| facility services
 IP DRG / Surgery / ED / Denials Coders, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed
 Sales Manager - Education Sales, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding
 HR Associate, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
 Manager / Sr Manager - Digital Ad Sales - Ecommerce, revenue generation| marketing| ad sales| web technologies
 Architect Junior/ Middle level, co ordination| team management| drafting| loans| online| coordination| quality
 php developer, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time
 Openstack Engineer / Openstack Admin with Ceph Storage, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible
 Sr. Software Engineer, National| Branch| Vice President| J2Ee| Software
 Software Engineering- Mentor, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment
 Application Tester, Performance Testing| Software Testing| Manual Testing| Quality Testing
 Credit Control - Manager / Asst. Manager, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control
 Night Shift - Non Voice / Web Chat - BPO, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher
 Sales Executive, Innovative| Aggressive
 Design Engineer Mechanical, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation
 Android developer, design| android| erp| software| mvc| quality
 Technical Writer, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support
" Pro-Engineer , Matlab ,Ansys", Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals
 Business Development Executive - Kolkata, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision
 Accountant - UK Based Accounting, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns
 Opportunity For Current Account RM ||bank || Delhi, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account
 PHP Developer, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax
 Senior Engineering Maintenance Manager For Knitting and ZLD System, zld| Engineering Management| knitting
 Accounting Specialist, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing
 Manager (Service Operation), ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
 DevOps Engineer Intern, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP
 PHP Developer (wordpress & Woo Commerce/shopify / Magento), C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax
 Java Developer, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery
 Sr. Manager- Business Development, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal
 Test Principal Engineer, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys
 Graphic Designer, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive
 Business Development Executive, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost
 Animation Resident, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior
Enterprise Business Development Representative,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales
 Dot Net Developer, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming
" Urgent Opening for ""US Staffing Professionals"" - Noida", technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing
 Front Office Executive-Noida, Front Office Executive
 Project Executive/coordinator, Project Administration| Coordination
 Sterling OMS Architect, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce
 Dot net Developer, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net
 Centreless Grinding Operator , NCTVT
 PHP Developer Jobs In Gurgaon - Team Lead - PHP, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services
 Sales Lead, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation
 Clerk - Garh Shankar (Vacancy-1),vide
 Senior Design Engineer - Manufacturing, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks
 Software Engineer Automation - Industrial Automation Job In Bangalore, Automation Engineer
 Looking For Assistant Manager - Healthcare (US Visa is Must), Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM
 Senior Accounts Executive,vide
 QA for Voice Process (LE-0097-N1C), Voice process| qaqc| Writing| Process operations| Verbal
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon", Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation
,vide
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python
 Executive Medical Coder, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech
 Account Assistant, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation
 Informatica Faculty Job Requirement in Hyderabad, Informatica Power Center| Informatica
 SEO Expert/ Digital Marketing Gurgaon, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing
 Head Engineering, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who
 Business Development Executive, Forecasting
 PPC Executive, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives
 Opening For the post of Mr/territory Business Manager in An Pharma, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive
 Deputy Manager - Program Management, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle
 Public Relations Manager - Bangalore, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication
 Female Fresher's Counsellor- Gurgaon, counselling| couselling| fresher| student counsellor| student counseling
 BE Chemical - Fresher, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
 Senior .Net Developer For Leading IT Company in Gurgaon, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net
 Hiring a Valuation Associate (female Only), Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling
 Merchandising & Marketing- Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor
 Medical Transcriber, X - Ray| Medical Transcription| Ultrasound| CT Scan
 PHP Developer, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml
 Business Development Manager, Sales| Management| Sales management| Educational sales
 Looking for a Job Change With a good package, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp
 Huge Requirement for Customer Care Executive with Fixed Salary, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software
Assistant Manager – BI&I (data Automation),C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration
 Field Sales Executive, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales
 Sr. Manager Sales Capability Building, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI
 Service Ops Expert - Servc Del | Microland, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females), planning| training| training manager| trainer| faculty
 Sales Manager, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail
 Field Support Team-Supervisor, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic
 Sr. C# Developer, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications
 Sr Structural Engineer, Senior Design Engineer| Engineering Design| SACS
 IT Security Head , C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems
 Technical Support Executive, Technical Support Executive| Electrical engineering
 Analyst - Business Intelligence, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction
Nokia WING Circuit Core - SMSC Engineer,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching
 Assistant Restaurant Manager / Restaurant Manager, assistant restaurant manager| restaurant| restaurant manager
 Digital / Web Artist, layout| visualization| digital media| graphic design| html| illustration| tools| part time
 Business Development Manager, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining
 Web/ GUI Designer, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static
" Web Designer - Html, CSS, Bootstrap, Photoshop", Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS
 Python Developer, Python
 Web Designer, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3
 AVP- FX MO, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances
 Head - Project Management, Project Management
 Walk- In For Development QA/ Regulatory Affairs, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp), accounting| finance| financial reporting| statutory compliance| gst| vat
 Team Leader- Head Digital Prtnrshp & BD, Data analysis| Consumer research| Management| Head Business Development
 DWH Tester - Manual Testing, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing
 Quality Assurance Engineer, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL
 Technical / Functional Skills, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas
 Software Development / Software Engineer, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming
,vide
 Inbound Phone Banking Voice Process - Leading Bank - Noida, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking
Java Enterprise Edition,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology
 Associate Clinical Data Processor, MS Office| Data entry
,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales
 CRM, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing
 Magento Developer, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3
 Merchandiser, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking
 SIEM Analyst,vide
 Hiring ll Azure Devops and Management Lead ll Hyderabad, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration
 Senior Faculty - Information Design,vide
 computer operator, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level
 Operation Executive, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment
 Customer Support Executive, Customer Support Executive| Customer service| Business Executive| process
 Corporate-Day Care Manager., Staff Training| Day Care| Recruitment
 Hiring going on for .US Inbound Tech Support/ Sales, process| Spot| Technical support| Night shift| International BPO
Deputy Manager- Performance/digital Marketing,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo
" Technical Lead -(VoIP,Cisco Call Manager)", java| cisco call manager| visa| j2ee| sip| offshore| communication skills
,vide
 Relationship Manager, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer
" Technician, Technical Support", International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction
 Graphic Designer, Illustrator| Corel Draw| Photoshop
 Consultant, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics
 Immediate Requirement for Fusion Technical Lead Developer, Technical Architecture| Fusion| Oracle Fusion
 Layout Designer / Web Designer, Layout design| Corel Draw| Web designing| Photoshop
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc, Bpo Voice| Voice Process| International BPO
 Asp.net with Angular JS & Html5 - Hyderabad, HTML5| ASP
 Sales Manager Product and Portfolio, Product training| Sales| Relationship| Banking| Recruitment
 Key Accounts Manager, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts
 Store Head-leading Manufacturing Company, Stores| warehouse| Logistics
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp
 Java Software Engineer, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services
 Admin Executive, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills
 Accounts Manager (male), Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit
 Opening for French Specialist Accounts Payable, accounts payable| accounting| AP
 Applications Analyst OEE, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE
 Customer Service Engineer - - ICD Security Solutions, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV
 Urgently Required Senior PHP Developer(laravel) || Gurgaon , CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter
 Associate Process Consultant, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio
 Infrastructure management- Lecturer, Teaching| Educator| Counselor| Mentor| Trainer| Advisor
 Finance Admin, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics
 Guest Relations Executive, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising
 Salesforce System Architect, salesforce| salesforce.com| system design| application architecture
,vide
System Monitoring Tools & Techniques Professional,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring
 HR Recruiter, Recruitment| Hiring| HR| Screening| Interviewing| Staffing
 Business Development Manager (eCommerce), bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba
 Java Developer - Spring/ Hibernate, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript
 Python Developer, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer
 Sales And Marketing/Business Development manager, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO
 Microsoft Developer, build automation| Entity framework| MVC| microsoft| SQL
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO
 Inbound Technical Support With Attractive Salary Package, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp
" Placement Officer,", HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer
 Walk-in Interviews For Sr.executive - Procurement on 5th July, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,Test Engineering
 Senior TSA Inbound Tech Process, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO
 Freelance Corporate Trainer on Taleo, Corporate Training| corporate trainer| technical trainer
 Senior Java Developer- Urgently Required by Mumbai IT Company, java| mongodb| Hibernate| spring| jms
 Manager Procurement, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive
 Senior Software Engineer - UI Development - Javascript/angularjs, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript
 Telle Caller, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency
 Documentation Executive, e - tendering| Tender Preparation| bid preparation| proposal preparation
 Restaurant Cashier, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT
" Opening For Dot Net Developer @ Baner, Pune", C#| .Net| Asp.net
 Management Trainee, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office
 Junior Company Secretary, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst
 Production Manager, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice), Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp
 Business Transformation Consultant, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management
 Content Editor, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration
 Graphics Hardware Engineer, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals
 Visual Designer, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer
 Web Designer, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive
 ACCOUNTS EXECUTIVES, Tally| Retail| Accounts Executive| Retail Executive
 Finance & Accounting Associates, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking
 DEALER - RETAIL BROKING, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling
 SENIOR SOFTWARE DEVELOPER (MVC .NET), MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws
 Client Relationship Partner, MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)", sales strategy| sales management| B2B Sales| corporate sales| institutional sales
 Dot Net Developer, soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design
 Lead Business Systems Analyst, Analyst
 Sr. Manager- Art in Mumbai || Opportunity @ Client side, Art Director
 Hiring for Domestic/ International Processes.contact the HR Asap, fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR
 Sr . Manager, Automobile| Warehouse| Problem management| Manager Operations
 Manager Learning & Development,vide
 Urgent Requirement for CCE Telesales for Night Shift., Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive
